id_dmr	root_mC	leaf_mC	adj_p	fold_change	status
dmr_22221_CG	0	0.275	0.00187821584627245	Inf	equal
dmr_22222_CG	0.903666666666667	0.8295	4.86344562740746e-07	1.08941129194294	equal
dmr_22223_CG	0.390666666666667	0.673	2.60979180008494e-40	1.72269624573379	equal
dmr_22224_CG	0.694333333333333	0.6025	9.75147464119591e-07	1.15242047026279	equal
dmr_22225_CG	0.889333333333333	0.925	0.335958341472516	1.04010494752624	equal
dmr_22226_CG	0.800333333333333	0.884	0.843337390090538	1.10453977509371	equal
dmr_22227_CG	0.788666666666667	0.7745	0.072342356879546	1.01829137077685	equal
dmr_22228_CG	0.788666666666667	0.7745	0.072342356879546	1.01829137077685	equal
dmr_22229_CG	0.863666666666667	0.8535	6.34678513980583e-18	1.01191173598906	equal
dmr_2222_CG	0.853666666666667	0.716	3.06980977658006e-05	1.19227188081937	equal
dmr_2222_CHG	0.482666666666667	0.555	0.11574819278323	1.14986187845304	equal
dmr_22230_CG	0.863666666666667	0.8535	6.34678513980583e-18	1.01191173598906	equal
dmr_22231_CG	0.670666666666667	0.581	0.000223616648279413	1.15433161216294	equal
dmr_22232_CG	0.670666666666667	0.581	0.000223616648279413	1.15433161216294	equal
dmr_22233_CG	0.588666666666667	0.489	0.000129721054095972	1.20381731424676	equal
dmr_22234_CG	0.630666666666667	0.436	0.00804718060276022	1.44648318042813	equal
dmr_22235_CG	0.797666666666667	0.68	6.76001986497897e-14	1.17303921568627	equal
dmr_22236_CG	0.00733333333333333	0.02	5.66408401066176e-31	2.72727272727273	equal
dmr_22237_CG	0.29	0.4465	6.78280605828689e-09	1.53965517241379	equal
dmr_22238_CG	0.356333333333333	0.2105	0.256895659691585	1.69279493269992	equal
dmr_22239_CG	0.0326666666666667	0	2.34990806083942e-05	Inf	equal
dmr_2223_CG	0.831	0.8365	0.324001837268449	1.00661853188929	equal
dmr_2223_CHG	0.485	0.507	0.722136192256359	1.04536082474227	equal
dmr_22240_CG	0.869	0.9315	0.504745321344508	1.07192174913694	equal
dmr_22241_CG	0.958	0.9135	5.17298968993175e-08	1.04871373836891	equal
dmr_22242_CG	0.914666666666667	0.9615	0.40990557630826	1.05120262390671	equal
dmr_22243_CG	0.740666666666667	0.638	0.000263861127134679	1.16091954022989	equal
dmr_22244_CG	0.882	0.856	0.000892285752374559	1.0303738317757	equal
dmr_22245_CG	0.613333333333333	0.859	9.62803939683967e-29	1.40054347826087	equal
dmr_22246_CG	0.759333333333333	0.8315	0.835460736163413	1.09503950834065	equal
dmr_22247_CG	0.581666666666667	0.417	0.00641299848302827	1.39488409272582	equal
dmr_22248_CG	0.581666666666667	0.417	0.00641299848302827	1.39488409272582	equal
dmr_22249_CG	0.581666666666667	0.417	0.00641299848302827	1.39488409272582	equal
dmr_2224_CG	0.872	0.819	2.05749562534657e-15	1.06471306471306	equal
dmr_2224_CHG	0.601666666666667	0.52	0.28190462039793	1.15705128205128	equal
dmr_22250_CG	0.777333333333333	0.8005	0.216043149100071	1.02980274442539	equal
dmr_22251_CG	0.654666666666667	0.6385	0.776148705060804	1.02531975985382	equal
dmr_22252_CG	0.625	0.8875	4.03465958207132e-06	1.42	equal
dmr_22253_CG	0.448333333333333	0.445	0.72769095446166	1.00749063670412	equal
dmr_22254_CG	0.938666666666667	0.902	1.27341164002738e-09	1.04065040650406	equal
dmr_22255_CG	0.694	0.71	0.541770778959866	1.02305475504323	equal
dmr_22256_CG	0.761	0.969	0.329247884402976	1.27332457293035	equal
dmr_22257_CG	0.951	0.9145	0.000183313117168695	1.03991252050301	equal
dmr_22258_CG	0.984	0.9305	4.67730426835114e-15	1.05749596990865	equal
dmr_22259_CG	0.843666666666667	0.8525	0.00839144063422811	1.01047016989332	equal
dmr_2225_CG	0.157666666666667	0.1725	0.185487129259254	1.09408033826638	equal
dmr_2225_CHG	0.347	0.172	0.435341957026853	2.01744186046512	equal
dmr_22260_CG	0.813666666666667	0.8525	3.44540078418595e-26	1.04772634166325	equal
dmr_22261_CG	0.797666666666667	0.923	0.27018674822871	1.15712494776431	equal
dmr_22262_CG	0.937	0.8955	0.0173844666623659	1.0463428252373	equal
dmr_22263_CG	0.525333333333333	0.692	0.179148082575509	1.31725888324873	equal
dmr_22264_CG	0.573666666666667	0.424	2.95920141589476e-05	1.35298742138365	equal
dmr_22265_CG	0.879333333333333	0.824	0.151834872748648	1.06715210355987	equal
dmr_22266_CG	0.606333333333333	0.64	0.980722751574436	1.05552501374382	equal
dmr_22267_CG	0.797	0.511	0.00185096280541578	1.55968688845401	equal
dmr_22268_CG	0.944333333333333	0.8365	0.000578924114237817	1.12891014146244	equal
dmr_22269_CG	0.635666666666667	0.659	0.649331870725675	1.03670686942842	equal
dmr_2226_CG	0.884	0.8755	0.014870693512557	1.00970873786408	equal
dmr_2226_CHG	0.412666666666667	0.219	0.0268623791871171	1.88432267884323	equal
dmr_22270_CG	0.636333333333333	0.576	9.06526068860498e-11	1.10474537037037	equal
dmr_22271_CG	0.712333333333333	0.934	4.17367021210479e-32	1.31118390266729	equal
dmr_22272_CG	0.712333333333333	0.934	4.17367021210479e-32	1.31118390266729	equal
dmr_22273_CG	0.659	0.9355	0.0619647108495003	1.4195751138088	equal
dmr_22274_CG	0.659	0.9355	0.0619647108495003	1.4195751138088	equal
dmr_22275_CG	0.716666666666667	0.7755	0.69005837419211	1.08209302325581	equal
dmr_22276_CG	0.716666666666667	0.7755	0.69005837419211	1.08209302325581	equal
dmr_22277_CG	0.988333333333333	0.9525	1.16088089742303e-53	1.03762029746282	equal
dmr_22278_CG	0.951333333333333	0.8915	1.41901840716271e-24	1.0671153486633	equal
dmr_22279_CG	0.669	0.754	0.725605361108146	1.1270553064275	equal
dmr_2227_CG	0.0683333333333333	0.52	4.04624876898701e-09	7.60975609756098	dm
dmr_2227_CHG	0.497	0.485	0.163990908796714	1.02474226804124	equal
dmr_22280_CG	0.669	0.754	0.725605361108146	1.1270553064275	equal
dmr_22281_CG	0.660333333333333	0.8235	0.609582110630833	1.24709742554266	equal
dmr_22282_CG	0.660333333333333	0.8235	0.609582110630833	1.24709742554266	equal
dmr_22283_CG	0.607333333333333	0.6525	0.951219477531077	1.07436882546652	equal
dmr_22284_CG	0.359	0.593	0.0104205336842531	1.65181058495822	equal
dmr_22285_CG	0.958333333333333	0.8025	2.889573277812e-12	1.19418483904465	equal
