pheno_name	pool	p	q	n	entropy	p_val
Family_Cytophagaceae	1	1	3	31	0.485867669012388	0
Family_Cytophagaceae	2	1	4	16	0.75	0.0505071609098568
Family_D05-2	1	0	21	31	0	1
Family_D05-2	2	4	0	16	0	1
Family_Defluviitaleaceae	1	13	0	31	0	1
Family_Defluviitaleaceae	2	7	0	16	0	1
Family_Demequinaceae	1	0	7	31	0	1
Family_Demequinaceae	2	0	3	16	0	1
Family_Desulfitibacteraceae	1	6	0	31	0	1
Family_Desulfitibacteraceae	2	1	0	16	0	1
Family_Desulfitobacteriaceae	1	2	2	31	0.510218878759597	0
Family_Desulfitobacteriaceae	2	0	7	16	0	1
Family_Desulfotomaculaceae	1	3	0	31	0	1
Family_Desulfotomaculaceae	2	0	0	16	0	1
Family_Desulfotomaculales_Incertae_Sedis	1	11	0	31	0	1
Family_Desulfotomaculales_Incertae_Sedis	2	0	2	16	0	1
Family_Desulfovibrionaceae	1	1	10	31	0.686350918238129	0.0055449500554939
Family_Desulfovibrionaceae	2	1	1	16	0.5	0.0196692913385827
Family_Dethiobacteraceae	1	0	1	31	0	1
Family_Dethiobacteraceae	2	0	3	16	0	1
Family_Devosiaceae	1	0	17	31	0	1
Family_Devosiaceae	2	0	10	16	0	1
Family_Diplorickettsiaceae	1	1	17	31	0.635118235022838	0
Family_Diplorickettsiaceae	2	1	2	16	0.625	0.0355271111111111
Family_Dongiaceae	1	27	0	31	0	1
Family_Dongiaceae	2	8	0	16	0	1
Family_Dysgonomonadaceae	1	22	0	31	0	1
Family_Dysgonomonadaceae	2	8	0	16	0	1
Family_Ethanoligenenaceae	1	0	2	31	0	1
Family_Ethanoligenenaceae	2	0	0	16	0	1
Family_Euzebyaceae	1	2	2	31	0.510218878759597	0
Family_Euzebyaceae	2	0	3	16	0	1
Family_Exiguobacteraceae	1	0	25	31	0	1
Family_Exiguobacteraceae	2	0	6	16	0	1
Family_Family_III	1	3	1	31	0.485867669012388	0
Family_Family_III	2	0	3	16	0	1
Family_Family_IV	1	0	2	31	0	1
Family_Family_IV	2	0	4	16	0	1
Family_Family_XI	1	0	5	31	0	1
Family_Family_XI	2	1	0	16	0	1
Family_Ferrovibrionaceae	1	0	17	31	0	1
